'17183','"2024-12-01T14:01:03.900Z"','"1"','1','4986','3502','400','138.84','135.54','122.97','120.94'
'16451','"2024-12-01T14:01:44.862Z"','"2"','2','9660','3835','486.87','408.7','349.5','210','163.48'
'16227','"2024-12-01T14:02:27.070Z"','"1"','1','4210','3044','330.57','209.56','167.69','138.84','79.83'
'16227(lastValue)','"2024-12-01T14:03:09.070Z"','"2"','2','9134','3711','474.71','309.6','253.97','248.16','203.31'
'null(lastValue)','"2024-12-01T14:04:19.789Z"','"CoinFlip"','9','38530','6626','5230.82','945.32','557.53','481.6','472.66'
'16164','"2024-12-01T14:04:57.186Z"','"2"','2','8769','4227','349.5','274.16','212.7','172.81','163.48'
'16518','"2024-12-01T14:05:41.454Z"','"1"','1','4944','3275','750','661.72','100','67.08','66.17'
'16518','"2024-12-01T14:06:21.160Z"','"1"','1','4002','3239','189.06','78.78','78.25','66.17','60.2'
'16117','"2024-12-01T14:08:19.714Z"','"CoinFlip"','10','35039','5776','1039.85','1039.85','659.37','596.36','575.39'
'16117','"2024-12-01T14:10:31.513Z"','"Pachinko"','25','98038','7204','4915.66','2457.83','1534.36','1409.59','1360.01'
'18289','"2024-12-01T14:12:19.599Z"','"Pachinko"','20','79664','7708','7940.68','1138.51','694.81','581.53','549.29'
'19094','"2024-12-01T14:13:03.248Z"','"1"','1','5386','3943','567.19','122.97','94.53','84.28','82.72'
'19094','"2024-12-01T14:13:45.413Z"','"10"','10','39806','6033','3119.55','863.09','724.58','519.93','519.93'
'19868','"2024-12-01T14:15:33.211Z"','"CashHunt"','700','599825','9617','20255.96','20135.31','8262.09','5554.09','4918.85'
'20300','"2024-12-01T14:16:14.057Z"','"1"','1','5362','3944','149.5','135.54','131.74','100.99','94.53'
'20300','"2024-12-01T14:16:59.991Z"','"1"','1','5517','4300','167.69','131.74','94.53','94.53','86.69'
'null(lastValue)','"2024-12-01T14:17:39.267Z"','"1"','1','6045','4484','335.38','100.99','94.53','94.53','86.69'
'19521','"2024-12-01T14:20:28.565Z"','"1"','1','5814','5006','79.12','68.93','67.08','67.08','54.49'
'19521','"2024-12-01T14:21:15.298Z"','"10"','10','47333','7093','2079.7','1064.27','863.09','863.09','831.88'
'21210','"2024-12-01T14:22:00.939Z"','"10"','10','54538','7889','2079.7','1064.27','1039.85','883.87','880'
'21197','"2024-12-01T14:22:42.289Z"','"2"','2','16230','6741','1848','412.79','228.87','225','167.69'
'21197','"2024-12-01T14:23:21.957Z"','"2"','2','15173','6967','1134.38','349.5','283.6','160.95','150'
